Jméno|Disciplína|Stát|Pohlaví|Datum narození|Vìk|Výška|Váha|Místo narození|Místo pobytu|Pøezdívka|Trenér|Ruka|Zranìní|Pøedchozí|Povolání|Klub|Pozice|Vzor|Jazyky|Hobbies|Ambice|Dùvody|Motto
Juhamatti AALTONEN|Ice Hockey|Finland|Male|4 June 1985|28|1.84|85|Finland, II|-||||||||||||||
Forough ABBASI|Alpine Skiing|Iran|Female|15 September 1993|20|1.64|58|Iran, SHIRAZ|-||||||||||||||
Jeremy ABBOTT|Figure Skating|United States|Male|5 June 1985|28|1.75|-|United States, ASPEN|-||||||||||||||
Agnese ABOLTINA|Alpine Skiing|Latvia|Female|7 February 1996|17|1.66|60|Latvia, RIGA|-||Dinars Dorss [national] ||||Athlete|||||Playing the piano, singing. |||
Iason ABRAMASHVILI|Alpine Skiing|Georgia|Male|26 April 1988|25|1.82|76|Georgia, BORJOMI|-|||||Vancouver 2010, Torino 2006|||||English, Georgian, Russian||||
Evgeny ABRAMENKO|Biathlon|Belarus|Male|26 February 1987|26|1.82|80|Belarus, VITEBSK|-|||Right ||Vancouver 2010|Athlete||||English, Russian|Cooking. |||
Oleksandr ABRAMENKO|Freestyle Skiing|Ukraine|Male|4 May 1988|25|1.80|82|Ukraine, KHARKIV|Ukraine, Mykolayiv||Yury Kobelnik |||Vancouver 2010, Torino 2006|Athlete|||||Studying foreign languages. |||
Ioan Valeriu ACHIRILOAIE|Alpine Skiing|Romania|Male|20 August 1990|23|1.83|87|Romania, BRASOV|-||||||||||||||
Yurie ADACHI|Ice Hockey|Japan|Female|26 April 1985|28|1.56|51|Japan, MARUYAMA, SAPPORO-CITY, HOKKAIDO|-||||||||||||||
Vicki ADAMS|Curling|Great Britain|Female|16 November 1989|24|1.64|-|Great Britain, EDINBURGH|-||Rhona Howie [national], GBR; David Hay, GBR ||||Athlete|Portpatrick Curling Club, Scotland|Second ||English|Reading, shopping, socialising. |||
Antoine ADELISSE|Freestyle Skiing|France|Male|10 June 1996|17|1.78|65|France, NANTES|France, La Plagne||Gregoire Dufosse ||||||||||||
Luca AERNI|Alpine Skiing|Switzerland|Male|27 March 1993|20|1.77|80|Switzerland, LE LOCLE NE|-||Steve Locher [national], SUI; Walter Hlebayna [national], AUT ||||Athlete||||German|Climbing, football, cycling, hanging out with his friends. |||
Katrien AERTS|Freestyle Skiing|Belgium|Female|15 March 1976|37|1.62|51|Belgium, GEEL|-||Koen Speleman ||In February 2008 she broke a vertebra, which required several months to fully recover from. ||Athlete||||Dutch|Sailing. |||
Alisa AGAFONOVA|Figure Skating|Turkey|Female|15 January 1991|23|1.73|-|Ukraine|-||Alexander Zhulin, RUS; Oleg Volkov ||||Athlete, Student||||English, Russian, Turkish|Shopping, listening to music, reading. |||
Meghan AGOSTA-MARCIANO|Ice Hockey|Canada|Female|12 February 1987|26|1.68|67|-|-||||||||||||||
Debora AGREITER|Cross-Country|Italy|Female|25 February 1991|22|1.66|51|-|-||Alfred Stauder ||||Athlete||||English, German, Italian, Latin|Gardening, painting, cycling, running, mountaineering, rollerskating. |||
Janne AHONEN|Ski Jumping|Finland|Male|11 May 1977|36|1.84|66|Finland, LAHTI|-|Rane, The Mask. |Ari Saukko ||He injured his knee during the individual large hill competition at the 2010 Olympic Winter Games in Vancouver, forcing him to withdraw from the team event. |Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998, Lillehammer 1994|Athlete|Lahden Hiihtoseura, Lahti, FIN|||English, Finnish|Motorcycles, drag racing. |||
